title,title_id,year,thumbnail,topic,file,author,level,alttext
"Cuadriláteros cíclicos","Cuadrilateros ciclicos",2005,cuad-ciclicos.png,Geometría,Cuadriláteros-cíclicos.pdf,"xscorpio",Intermedio,"¿Ya dominas ángulos en circunferencias?"
"Cuadriláteros","Cuadrilateros",2011,Logo-acm.png,Geometría,Cuadriláteros.pdf,"Estefanía Ordaz",Básico - Intermedio,"Cuatro buenos puntos. A veces están en círculos."
"Demostraciones","Demostraciones",2017,Logo-ommags.png,Métodos de ataque de problemas,Demostraciones.pdf,"Gustavo Meza García",Intermedio - Avanzado,"Ya no sólo es resolver. ¡Demuéstralo!"
"Desigualdades","Desigualdades",2020,Logo-ommags.png,Álgebra,Desigualdades-1.pdf,"Ricardo Antonio Gutiérrez Esparza",Intermedio,"Hay números más iguales que otros."
"Desigualdades","Desigualdades",2005,Logo-acm.png,Álgebra,Desigualdades-2.pdf,"José H. Nieto",Avanzado,"Hay números más iguales que otros."
"Desigualdades","Desigualdades",2022,Logo.png,Álgebra,Desigualdades.pdf,"Emilio Toscano Oneto",Intermedio,"Hay números más iguales que otros."
"Divisibilidad","Divisibilidad",2013,Logo-omt.png,Teoría de Números,Divisibilidad-1.pdf,"Desconocido",Básico,"¿Qué significa dividir realmente?"
"Divisibilidad","Divisibilidad",2018,Logo-ommags.png,Teoría de Números,Divisibilidad-2.pdf,"Desconocido",Intermedio,"Divide sin ver los números."
"Divisibilidad","Divisibilidad",2017,Logo-ommags.png,Teoría de Números,Divisibilidad-3.pdf,"Gustavo Meza García",Intermedio - Avanzado,"Dividir sin conocer los números; parece magia, sólo es álgebra."
"Divisibilidad (Diapositivas)","Divisibilidad (Diapositivas)",2022,Logo-ommgto.png,Teoría de Números,Divisibilidad-(Diapositivas).pdf,"Jesús Liceaga",Básico,"¿Cómo saber si puedo dividir?"
"Divisibilidad","Divisibilidad",2022,Logo.png,Teoría de Números,Divisibilidad.pdf,"Emilio Toscano Oneto",Básico,"Divide sin dividir."
